0	Raid	120	304	0	269	188	0
1	Tomes	0	180	0	0	113	162
1	Raid	0	180	113	162	0	0
2	Tomes	0	285	257	0	0	180
2	Raid	0	285	0	257	180	0
3	Tomes	0	180	113	0	0	162
3	Raid	0	180	0	162	113	0
5	Tomes	0	285	0	180	257	0
5	Raid	0	285	0	0	180	257
6	Tomes	0	180	113	162	0	0
6	Raid	0	180	162	0	0	113
7	Tomes	0	142	0	89	127	0
7	Raid	0	142	127	0	0	89
8	Tomes	0	142	0	0	127	89
8	Raid	0	142	89	127	0	0
9	Tomes	0	142	89	127	0	0
9	Raid	0	142	0	0	89	127
10	Unaug	0	134	87	124	0	0
10	Tomes	0	142	89	127	0	0
10	Raid	0	142	0	0	127	89
