0	Ex	141	550	370	259	0	0
1	Tomes	0	316	219	153	0	0
1	AF	0	299	206	0	0	144
2	Tomes	0	501	244	0	348	0
2	AF	0	475	327	229	0	0
3	Tomes	0	316	0	219	153	0
3	AF	0	299	144	0	206	0
5	Tomes	0	501	0	348	0	244
5	AF	0	475	0	327	229	0
6	Tomes	0	316	219	0	153	0
6	AF	0	299	206	144	0	0
7	Ex2	0	263	0	124	177	0
7	Tomes1	0	249	121	173	0	0
7	Dung	0	236	0	0	162	113
8	Ex2	0	263	124	0	177	0
8	Tomes1	0	249	121	0	173	0
8	Dung	0	236	113	162	0	0
9	Ex2	0	263	177	0	124	0
9	Tomes1	0	249	121	173	0	0
9	Dung	0	236	0	0	113	162
10	Ex2	0	263	177	0	124	0
10	Tomes1	0	249	0	0	173	121
10	Dung	0	236	162	113	0	0
