0	Raid	104	355	223	318	0	0
1	Tomes	0	198	125	0	178	0
1	Raid	0	198	0	125	0	178
2	Tomes	0	322	202	289	0	0
2	Raid	0	322	0	0	289	202
3	Tomes	0	198	178	0	0	125
3	Raid	0	198	0	125	178	0
4	Tomes	0	149	0	0	133	93
4	Raid	0	149	93	133	0	0
5	Tomes	0	322	0	202	0	289
5	Raid	0	322	289	0	202	0
6	Tomes	0	198	0	0	125	178
6	Raid	0	198	125	178	0	0
7	Tomes	0	149	0	133	93	0
7	Raid	0	149	0	0	93	133
8	Tomes	0	149	0	93	133	0
8	Raid	0	149	133	0	0	93
9	Tomes	0	149	0	93	0	133
9	Raid	0	149	93	0	133	0
10	Tomes	0	149	0	0	133	93
10	Raid	0	149	0	93	0	133
