0	Genji	100	308	280	196	0	0
1	Lost_Allagan	0	172	156	109	0	0
1	Genji	0	172	109	0	0	156
2	Lost_Allagan	0	280	177	0	253	0
2	Genji	0	280	0	253	177	0
3	Lost_Allagan	0	172	0	109	0	156
3	Genji	0	172	156	109	0	0
4	Lost_Allagan	0	129	0	0	82	117
4	Genji	0	129	0	117	82	0
5	Lost_Allagan	0	280	177	0	253	0
5	Genji	0	280	177	0	0	253
6	Lost_Allagan	0	172	0	109	156	0
6	Genji	0	172	109	156	0	0
7	Lost_Allagan	0	129	117	0	0	82
7	Genji	0	129	82	117	0	0
8	Lost_Allagan	0	129	117	82	0	0
8	Genji	0	129	0	117	82	0
9	Lost_Allagan	0	129	0	82	117	0
9	Genji	0	129	0	0	82	117
10	Lost_Allagan	0	129	82	0	0	117
10	Genji	0	129	82	117	0	0
