0	Raid	109	403	0	249	356	0
1	Tomes	0	228	0	0	140	200
1	Raid	0	228	200	0	140	0
1	Crafted	0	208	185	130	0	0
2	Tomes	0	371	0	325	227	0
2	Raid	0	371	0	227	0	325
2	Crafted	0	337	0	0	211	301
3	Tomes	0	228	140	0	200	0
3	Raid	0	228	0	200	140	0
3	Crafted	0	208	130	185	0	0
4	Tomes	0	171	0	150	0	105
4	Raid	0	171	105	150	0	0
4	Crafted	0	156	0	0	97	139
5	Tomes	0	371	0	227	0	325
5	Raid	0	371	0	227	325	0
5	Crafted	0	337	0	0	301	211
6	Tomes	0	228	140	0	200	0
6	Raid	0	228	0	0	200	140
6	Crafted	0	208	185	130	0	0
7	Tomes	0	171	0	105	0	150
7	Raid	0	171	0	0	105	150
7	Crafted	0	156	97	139	0	0
8	Tomes	0	171	150	0	105	0
8	Raid	0	171	150	105	0	0
8	Crafted	0	156	0	0	139	97
9	Tomes	0	171	0	0	105	150
9	Raid	0	171	150	0	0	105
9	Crafted	0	156	139	97	0	0
10	Tomes	0	171	0	150	0	105
10	Raid	0	171	105	0	0	150
10	Crafted	0	156	0	0	97	139
