0	Raid	104	355	223	318	0	0
1	Tomes	0	198	125	0	178	0
1	Raid	0	198	0	125	0	178
1	Dungeon	0	203	0	182	127	0
2	Tomes	0	322	202	289	0	0
2	Raid	0	322	0	0	289	202
2	Dungeon	0	330	207	295	0	0
3	Tomes	0	198	178	0	0	125
3	Raid	0	198	0	125	178	0
3	Dungeon	0	203	0	0	127	182
4	Tomes	0	149	0	0	133	93
4	Raid	0	149	93	133	0	0
4	Dungeon	0	152	95	0	136	0
5	Tomes	0	322	0	202	0	289
5	Raid	0	322	289	0	202	0
5	Dungeon	0	330	207	295	0	0
6	Tomes	0	198	0	0	125	178
6	Raid	0	198	125	178	0	0
6	Dungeon	0	203	0	127	0	182
7	Tomes	0	149	0	133	93	0
7	Raid	0	149	0	0	93	133
7	Dungeon	0	152	0	0	136	95
8	Tomes	0	149	0	93	133	0
8	Raid	0	149	133	0	0	93
8	Dungeon	0	152	95	136	0	0
9	Tomes	0	149	0	93	0	133
9	Raid	0	149	93	0	133	0
9	Dungeon	0	152	0	0	95	136
10	Tomes	0	149	0	0	133	93
10	Raid	0	149	0	93	0	133
10	Dungeon	0	152	0	136	95	0
