0	Raid	134	725	372	531	0	0
1	Tomes	0	413	0	0	301	211
1	Raid	0	413	211	301	0	0
2	Tomes	0	671	0	342	489	0
2	Raid	0	671	489	342	0	0
3	Tomes	0	413	301	211	0	0
3	Raid	0	413	0	0	211	301
4	Tomes	0	310	0	158	0	226
4	Raid	0	310	226	0	158	0
5	Tomes	0	671	342	0	489	0
5	Raid	0	671	0	489	342	0
6	Tomes	0	413	211	301	0	0
6	Raid	0	413	0	0	301	211
7	Tomes	0	310	226	158	0	0
7	Raid	0	310	0	0	158	226
8	Tomes	0	310	158	0	226	0
8	Raid	0	310	0	226	158	0
9	Tomes	0	310	0	0	226	158
9	Raid	0	310	226	158	0	0
10	Tomes	0	310	226	158	0	0
10	Raid	0	310	0	226	158	0
